file,english_name,arabic_name,source_pdf_page,source_extracted_images,output_size_px
01_garage_rolling_doors.png,Garage Rolling Doors,أبواب الرول السحابة (الجراج),21,page021_img004.png,900x482
02_industrial_rolling_doors.png,Industrial Rolling Doors,الأبواب الصناعية السحاب,22,page022_img002.png,832x1057
03_industrial_shutters_stainless_steel.png,Industrial Shutters - Stainless Steel,الأبواب الشتر الصناعية (ستانلس ستيل),24,page024_img002.png;page024_img003.png,900x436
04_industrial_shutters_aluminum.png,Industrial Shutters - Aluminum,الأبواب الشتر الصناعية (الألومنيوم),24,page024_img004.png;page024_img005.png,900x410
05_grill_shutter_doors.png,Grill Shutter Doors,أبواب الشيك والقضبان المتشابكة,32,page032_img002.png,900x597
06_insulated_rolling_shutter.png,Insulated Rolling Shutter,أبواب الرول المعزولة,29,page029_img003.png,857x900
07_fire_rated_shutter_2hr.png,Fire Rated Shutter - 2 Hr,أبواب شتر مقاومة للحريق (2 ساعة),27,page027_img001.png,900x761
08_curved_slats.png,Curved Slats,الأبواب الشتر بشرائح منحنية,25,page025_img002.png;page025_img004.png,900x408
09_sliding_gates.png,Sliding Gates,البوابات المنزلقة (سلايدينج),39,page039_img003.png,675x900
10_polycarbonate_doors.png,Polycarbonate Doors,أبواب البولي كربونات,37,page037_img001.png,715x900
11_overhead_sectional_doors.png,Overhead & Sectional Doors,أبواب القطع المنزلقة والبانوراما,35,page035_img002.png,900x771
12_metal_window_shutters.png,Metal Window Shutters,ستائر النوافذ المعدنية,34,page034_img006.png,1308x927
13_electronic_parking_barriers.png,Electronic Parking Barriers,الأعمدة الإلكترونية لمواقف السيارات,47,page047_img002.png,900x691
14_hollow_metal_doors.png,Hollow Metal Doors,أبواب الطوارئ (عادية وضد الحريق),46,page046_img003.png,900x815
15_double_leaf_glass_doors.png,Double-Leaf Glass Doors,الأبواب الزجاجية ذات الدرفتين,43,page043_img001.png,757x900
16_swing_gates_motor.png,Swing Gates Motor,بوابات الدرفتين (ماتور الكافرات),40,page040_img003.png,900x438
